Espécie;Apreendidas;Data apreensão;Mês;Ano;UF Apreensão;Unidade Apreensão;Município;País de origem;Tipo Penal
Metralhadora;1;41338;mar;2013;AM;SR/PF/AM;MANAUS;Não identificado;Art. 16 Posse ou porte ilegal de arma de fogo de uso restrito
Pistola;4;41338;mar;2013;RJ;DPF/NIG/RJ;SEROPEDICA;Não identificado;Art. 18 Tráfico internacional de arma de fogo
Revólver;1;41338;mar;2013;AM;SR/PF/AM;MANAUS;Brasil;Art. 16 Posse ou porte ilegal de arma de fogo de uso restrito
Espingarda;2;41339;mar;2013;ES;SR/PF/ES;VITORIA;Brasil;Art. 12 Posse irregular de arma de fogo de uso permitido
Revólver;1;41339;mar;2013;ES;SR/PF/ES;VITORIA;Brasil;Art. 12 Posse irregular de arma de fogo de uso permitido
Revólver;1;41339;mar;2013;PR;DPF/LDA/PR;NI;Brasil;Outra tipificação
Revólver;1;41339;mar;2013;PR;DPF/LDA/PR;NI;Brasil;Outra tipificação
Revólver;1;41339;mar;2013;PR;DPF/LDA/PR;NI;Brasil;Outra tipificação
Revólver;1;41339;mar;2013;PR;SR/PF/PR;CURITIBA;Não identificado;Art. 14 Porte ilegal de arma de fogo de uso permitido
Artesanal;1;41340;mar;2013;DF;SR/PF/DF;GOIAS;Não identificado;Art. 14 Porte ilegal de arma de fogo de uso permitido
Pistola;1;41340;mar;2013;MS;SR/PF/MS;CAMPO GRANDE;Brasil;Art. 12 Posse irregular de arma de fogo de uso permitido
Rifle;1;41340;mar;2013;DF;SR/PF/DF;GOIAS;Não identificado;Art. 14 Porte ilegal de arma de fogo de uso permitido
Rifle;1;41340;mar;2013;DF;SR/PF/DF;GOIAS;Não identificado;Art. 14 Porte ilegal de arma de fogo de uso permitido
Pistola;1;41341;mar;2013;ES;DPF/CIT/ES;ATILIO VIVACQUA;Brasil;Art. 16 Posse ou porte ilegal de arma de fogo de uso restrito
Pistola;1;41342;mar;2013;RS;DPF/CXS/RS;CAXIAS DO SUL;Brasil;Art. 14 Porte ilegal de arma de fogo de uso permitido
Pistola;1;41345;mar;2013;MG;DPF/MOC/MG;NI;Brasil;Outra tipificação
Espingarda;1;41347;mar;2013;MS;DPF/NVI/MS;NAVIRAI;Não identificado;Art. 12 Posse irregular de arma de fogo de uso permitido
Revólver;1;41347;mar;2013;MS;DPF/NVI/MS;NAVIRAI;Brasil;Art. 12 Posse irregular de arma de fogo de uso permitido
Revólver;1;41347;mar;2013;MS;DPF/NVI/MS;JUTI;Não identificado;Art. 12 Posse irregular de arma de fogo de uso permitido
Revólver;1;41347;mar;2013;PB;DPF/CGE/PB;NI;Brasil;Outra tipificação
